Name                                                                      Stmts   Miss  Cover
---------------------------------------------------------------------------------------------
/usr/lib/python3/dist-packages/_distutils_hack/__init__.py                  100     95     5%
/usr/lib/python3/dist-packages/_pytest/__init__.py                            3      0   100%
/usr/lib/python3/dist-packages/_pytest/_argcomplete.py                       37     23    38%
/usr/lib/python3/dist-packages/_pytest/_code/__init__.py                     10      0   100%
/usr/lib/python3/dist-packages/_pytest/_code/code.py                        724    462    36%
/usr/lib/python3/dist-packages/_pytest/_code/source.py                      145    107    26%
/usr/lib/python3/dist-packages/_pytest/_io/__init__.py                        3      0   100%
/usr/lib/python3/dist-packages/_pytest/_io/saferepr.py                       82     62    24%
/usr/lib/python3/dist-packages/_pytest/_io/terminalwriter.py                120     44    63%
/usr/lib/python3/dist-packages/_pytest/_io/wcwidth.py                        25     11    56%
/usr/lib/python3/dist-packages/_pytest/_version.py                           11      2    82%
/usr/lib/python3/dist-packages/_pytest/assertion/__init__.py                 86     25    71%
/usr/lib/python3/dist-packages/_pytest/assertion/rewrite.py                 675    472    30%
/usr/lib/python3/dist-packages/_pytest/assertion/truncate.py                 49     38    22%
/usr/lib/python3/dist-packages/_pytest/assertion/util.py                    307    263    14%
/usr/lib/python3/dist-packages/_pytest/cacheprovider.py                     322    163    49%
/usr/lib/python3/dist-packages/_pytest/capture.py                           603    232    62%
/usr/lib/python3/dist-packages/_pytest/compat.py                            164     68    59%
/usr/lib/python3/dist-packages/_pytest/config/__init__.py                   890    386    57%
/usr/lib/python3/dist-packages/_pytest/config/argparsing.py                 259     80    69%
/usr/lib/python3/dist-packages/_pytest/config/compat.py                      38      5    87%
/usr/lib/python3/dist-packages/_pytest/config/exceptions.py                   4      0   100%
/usr/lib/python3/dist-packages/_pytest/config/findpaths.py                  131     58    56%
/usr/lib/python3/dist-packages/_pytest/debugging.py                         230    161    30%
/usr/lib/python3/dist-packages/_pytest/deprecated.py                         24      1    96%
/usr/lib/python3/dist-packages/_pytest/doctest.py                           361    253    30%
/usr/lib/python3/dist-packages/_pytest/faulthandler.py                       58     16    72%
/usr/lib/python3/dist-packages/_pytest/fixtures.py                          826    330    60%
/usr/lib/python3/dist-packages/_pytest/freeze_support.py                     20     14    30%
/usr/lib/python3/dist-packages/_pytest/helpconfig.py                        134     92    31%
/usr/lib/python3/dist-packages/_pytest/hookspec.py                          114     26    77%
/usr/lib/python3/dist-packages/_pytest/junitxml.py                          367    269    27%
/usr/lib/python3/dist-packages/_pytest/legacypath.py                        216     68    69%
/usr/lib/python3/dist-packages/_pytest/logging.py                           440    165    62%
/usr/lib/python3/dist-packages/_pytest/main.py                              471    194    59%
/usr/lib/python3/dist-packages/_pytest/mark/__init__.py                     129     58    55%
/usr/lib/python3/dist-packages/_pytest/mark/expression.py                   127     73    43%
/usr/lib/python3/dist-packages/_pytest/mark/structures.py                   272    144    47%
/usr/lib/python3/dist-packages/_pytest/monkeypatch.py                       168     97    42%
/usr/lib/python3/dist-packages/_pytest/nodes.py                             333    125    62%
/usr/lib/python3/dist-packages/_pytest/nose.py                               29     11    62%
/usr/lib/python3/dist-packages/_pytest/outcomes.py                          110     62    44%
/usr/lib/python3/dist-packages/_pytest/pastebin.py                           70     47    33%
/usr/lib/python3/dist-packages/_pytest/pathlib.py                           416    276    34%
/usr/lib/python3/dist-packages/_pytest/pytester.py                          800    586    27%
/usr/lib/python3/dist-packages/_pytest/python.py                            896    455    49%
/usr/lib/python3/dist-packages/_pytest/python_api.py                        337    191    43%
/usr/lib/python3/dist-packages/_pytest/python_path.py                        16      4    75%
/usr/lib/python3/dist-packages/_pytest/recwarn.py                           130     81    38%
/usr/lib/python3/dist-packages/_pytest/reports.py                           297    167    44%
/usr/lib/python3/dist-packages/_pytest/runner.py                            296     88    70%
/usr/lib/python3/dist-packages/_pytest/scope.py                              39      9    77%
/usr/lib/python3/dist-packages/_pytest/setuponly.py                          58     30    48%
/usr/lib/python3/dist-packages/_pytest/setupplan.py                          24      5    79%
/usr/lib/python3/dist-packages/_pytest/skipping.py                          163     87    47%
/usr/lib/python3/dist-packages/_pytest/stash.py                              36      1    97%
/usr/lib/python3/dist-packages/_pytest/stepwise.py                           74     43    42%
/usr/lib/python3/dist-packages/_pytest/terminal.py                          913    425    53%
/usr/lib/python3/dist-packages/_pytest/threadexception.py                    42      5    88%
/usr/lib/python3/dist-packages/_pytest/timing.py                              4      0   100%
/usr/lib/python3/dist-packages/_pytest/tmpdir.py                            156     73    53%
/usr/lib/python3/dist-packages/_pytest/unittest.py                          251    178    29%
/usr/lib/python3/dist-packages/_pytest/unraisableexception.py                44      7    84%
/usr/lib/python3/dist-packages/_pytest/warning_types.py                      64     10    84%
/usr/lib/python3/dist-packages/_pytest/warnings.py                           74     19    74%
/usr/lib/python3/dist-packages/anyio/__init__.py                             68      0   100%
/usr/lib/python3/dist-packages/anyio/_core/__init__.py                        0      0   100%
/usr/lib/python3/dist-packages/anyio/_core/_eventloop.py                     66     39    41%
/usr/lib/python3/dist-packages/anyio/_core/_exceptions.py                    16      3    81%
/usr/lib/python3/dist-packages/anyio/_core/_fileio.py                       308    163    47%
/usr/lib/python3/dist-packages/anyio/_core/_resources.py                      7      3    57%
/usr/lib/python3/dist-packages/anyio/_core/_signals.py                        7      1    86%
/usr/lib/python3/dist-packages/anyio/_core/_sockets.py                      213    165    23%
/usr/lib/python3/dist-packages/anyio/_core/_streams.py                       16      8    50%
/usr/lib/python3/dist-packages/anyio/_core/_subprocesses.py                  38     27    29%
/usr/lib/python3/dist-packages/anyio/_core/_synchronization.py              324    194    40%
/usr/lib/python3/dist-packages/anyio/_core/_tasks.py                         53     21    60%
/usr/lib/python3/dist-packages/anyio/_core/_testing.py                       29     15    48%
/usr/lib/python3/dist-packages/anyio/_core/_typedattr.py                     34     10    71%
/usr/lib/python3/dist-packages/anyio/abc/__init__.py                         44      0   100%
/usr/lib/python3/dist-packages/anyio/abc/_eventloop.py                      178     45    75%
/usr/lib/python3/dist-packages/anyio/abc/_resources.py                       12      2    83%
/usr/lib/python3/dist-packages/anyio/abc/_sockets.py                         77     26    66%
/usr/lib/python3/dist-packages/anyio/abc/_streams.py                         55     10    82%
/usr/lib/python3/dist-packages/anyio/abc/_subprocesses.py                    29      0   100%
/usr/lib/python3/dist-packages/anyio/abc/_tasks.py                           32      4    88%
/usr/lib/python3/dist-packages/anyio/abc/_testing.py                         18      2    89%
/usr/lib/python3/dist-packages/anyio/from_thread.py                         192    133    31%
/usr/lib/python3/dist-packages/anyio/lowlevel.py                             79     41    48%
/usr/lib/python3/dist-packages/anyio/pytest_plugin.py                        98     60    39%
/usr/lib/python3/dist-packages/anyio/streams/__init__.py                      0      0   100%
/usr/lib/python3/dist-packages/anyio/streams/memory.py                      133     80    40%
/usr/lib/python3/dist-packages/anyio/streams/stapled.py                      64     29    55%
/usr/lib/python3/dist-packages/anyio/streams/tls.py                         145     87    40%
/usr/lib/python3/dist-packages/anyio/to_thread.py                            19      6    68%
/usr/lib/python3/dist-packages/iniconfig/__init__.py                        122     99    19%
/usr/lib/python3/dist-packages/pluggy/__init__.py                             9      2    78%
/usr/lib/python3/dist-packages/pluggy/_callers.py                           109     52    52%
/usr/lib/python3/dist-packages/pluggy/_hooks.py                             266     50    81%
/usr/lib/python3/dist-packages/pluggy/_manager.py                           230     90    61%
/usr/lib/python3/dist-packages/pluggy/_result.py                             50     14    72%
/usr/lib/python3/dist-packages/pluggy/_tracing.py                            48     17    65%
/usr/lib/python3/dist-packages/pluggy/_version.py                            11      2    82%
/usr/lib/python3/dist-packages/pluggy/_warnings.py                            6      0   100%
/usr/lib/python3/dist-packages/py/__init__.py                                14      6    57%
/usr/lib/python3/dist-packages/py/_error.py                                  51     37    27%
/usr/lib/python3/dist-packages/py/_path/__init__.py                           0      0   100%
/usr/lib/python3/dist-packages/py/_path/common.py                           278    208    25%
/usr/lib/python3/dist-packages/py/_path/local.py                            697    593    15%
/usr/lib/python3/dist-packages/py/_vendored_packages/__init__.py              0      0   100%
/usr/lib/python3/dist-packages/py/_vendored_packages/apipkg/__init__.py     155     57    63%
/usr/lib/python3/dist-packages/py/_vendored_packages/apipkg/version.py        2      0   100%
/usr/lib/python3/dist-packages/py/_version.py                                11      2    82%
/usr/lib/python3/dist-packages/pytest/__init__.py                            85      2    98%
/usr/lib/python3/dist-packages/pytest/__main__.py                             3      0   100%
/usr/lib/python3/dist-packages/sniffio/__init__.py                            3      0   100%
/usr/lib/python3/dist-packages/sniffio/_impl.py                              33     22    33%
/usr/lib/python3/dist-packages/sniffio/_version.py                            1      0   100%
Calculator.py                                                                37      0   100%
test_CalculatorCopilot.py                                                    70      0   100%
---------------------------------------------------------------------------------------------
TOTAL                                                                     19062   9969    48%
